OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_1985									0	0
FOTU_1986	Fungi_1								0	0
FOTU_1987	Rhizaria_1	Cercozoa_1							0	0
FOTU_1988									0	0
FOTU_1989									0	0
FOTU_1990	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Bionectriaceae_1				0	0
FOTU_1991	Fungi_1	Kickxellomycota_1							0	0
FOTU_1992									0	0
FOTU_1993	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Chaetothyriales_1	Trichomeriaceae_1	Knufia_1			0	0
FOTU_1994									0	0
FOTU_1995									0	0
FOTU_1996	Rhizaria_1	Cercozoa_1							0	0
FOTU_1997	Fungi_1								0	0
FOTU_1998	Fungi_1	Ascomycota_1	Sordariomycetes_1					Fungi-CHH4,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Gibellulopsis,s__Gibellulopsis_piscis	85.222	100
FOTU_1999	Fungi_1	Ascomycota_1	Sordariomycetes_1	Myrmecridiales_1	Myrmecridiaceae_1	Myrmecridium_1			0	0
FOTU_2000	Fungi_1	Chytridiomycota_1							0	0
FOTU_2001	Fungi_1	Ascomycota_1	Sordariomycetes_1	Junewangiaceae_1					0	0
FOTU_2002									0	0
FOTU_2003	Fungi_1	Ascomycota_1	Eurotiomycetes_1	Onygenales_1	Gymnoascaceae_1				0	0
FOTU_2004									0	0
FOTU_2005	Fungi_1	Ascomycota_1	Sordariomycetes_1	Coniochaetales_1	Coniochaetaceae_1	Coniochaeta_1	Coniochaeta velutina 		0	0
FOTU_2006	Fungi_1	Chytridiomycota_1	Rhizophydiomycetes_1	Rhizophydiales_1					0	0
FOTU_2007	Fungi_1	Kickxellomycota_1							0	0
FOTU_2008	Rhizaria_1	Cercozoa_1							0	0
FOTU_2009									0	0
FOTU_2010									0	0
FOTU_2011	Rhizaria_1	Cercozoa_1							0	0
FOTU_2012	Fungi_1	Ascomycota_1	Pezizomycetes_1	Pezizales_1	Pezizaceae_1				0	0
FOTU_2013									0	0
FOTU_2014	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Polyporales_1	Polyporaceae_1				0	0
FOTU_2015									0	0
FOTU_2016	Rhizaria_1	Cercozoa_1							0	0
FOTU_2017	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Stachybotryaceae_1	Striaticonidium_1	Striaticonidium cinctum 	Fungi-CHH22,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma	77.333	100
FOTU_2018									0	0
FOTU_2019									0	0
FOTU_2020									0	0
FOTU_2021	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Bolbitiaceae_1	Conocybe_1	Conocybe apala 		0	0
FOTU_2022	Fungi_1								0	0
FOTU_2023	Rhizaria_1	Cercozoa_1							0	0
FOTU_2024	Fungi_1	Basidiomycota_1	Cystobasidiomycetes_1	Symmetrosporaceae_1	Symmetrospora_1	Symmetrospora coprosmae 		Fungi-EMMF95,p__Basidiomycota,c__Cystobasidiomycetes,o__,f__Symmetrosporaceae,g__Symmetrospora	99.000	100
FOTU_2025									0	0
FOTU_2026	Fungi_1	Chytridiomycota_1	Rhizophydiomycetes_1	Rhizophydiales_1					0	0
FOTU_2027									0	0
FOTU_2028									0	0
FOTU_2029									0	0
FOTU_2030	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Russulales_1	Peniophoraceae_1	Peniophora_1	Peniophora versiformis 		0	0
FOTU_2031	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Dictyosporiaceae_1	Dictyosporium_1	Dictyosporium stellatum 		0	0
