vsearch v2.22.1_linux_x86_64, 1007.5GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Tue Jan 23 20:56:16 2024

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  518           1     0.0%     0.0%
  180    99.7%  41.0  0.00008  0.000109   0.03   0.000171    0.017%
  181    99.7%  41.0  0.00008  0.000093   0.03   0.000171    0.017%
  182    99.7%  41.0  0.00008  0.000105   0.03   0.000170    0.017%
  183    99.7%  41.0  0.00008  0.000136   0.03   0.000170    0.017%
  184    99.7%  40.9  0.00008  0.000186   0.03   0.000170    0.017%
  185    99.7%  41.0  0.00008  0.000144   0.03   0.000170    0.017%
  186    99.7%  41.0  0.00008  0.000165   0.03   0.000170    0.017%
  187    99.7%  41.0  0.00008  0.000120   0.03   0.000170    0.017%
  188    99.7%  41.0  0.00008  0.000154   0.03   0.000170    0.017%
  189    99.7%  41.0  0.00008  0.000132   0.03   0.000170    0.017%
  190    99.7%  40.9  0.00008  0.000256   0.03   0.000170    0.017%
  191    99.7%  41.0  0.00008  0.000145   0.03   0.000170    0.017%
  192    99.7%  41.0  0.00008  0.000097   0.03   0.000169    0.017%
  193    99.7%  41.0  0.00008  0.000112   0.03   0.000169    0.017%
  194    99.7%  41.0  0.00008  0.000100   0.03   0.000169    0.017%
  195    99.7%  41.0  0.00008  0.000158   0.03   0.000169    0.017%
  196    99.7%  40.9  0.00008  0.000164   0.03   0.000169    0.017%
  197    99.7%  41.0  0.00008  0.000119   0.03   0.000168    0.017%
  198    99.7%  41.0  0.00008  0.000100   0.03   0.000168    0.017%
  199    99.7%  41.0  0.00008  0.000118   0.03   0.000168    0.017%
  200    99.7%  41.0  0.00008  0.000118   0.03   0.000168    0.017%
  201    99.7%  41.0  0.00008  0.000119   0.03   0.000167    0.017%
  202    99.7%  40.9  0.00008  0.000257   0.03   0.000168    0.017%
  203    99.7%  40.8  0.00008  0.000851   0.03   0.000171    0.017%
  204    99.7%  41.0  0.00008  0.000158   0.03   0.000171    0.017%
  205    99.7%  40.9  0.00008  0.000158   0.04   0.000171    0.017%
  206    99.7%  41.0  0.00008  0.000107   0.04   0.000171    0.017%
  207    99.7%  40.9  0.00008  0.000253   0.04   0.000171    0.017%
  208    99.7%  41.0  0.00008  0.000117   0.04   0.000171    0.017%
  209    99.7%  41.0  0.00008  0.000131   0.04   0.000171    0.017%
  210    99.7%  40.8  0.00008  0.000483   0.04   0.000172    0.017%
  211    99.7%  40.9  0.00008  0.000203   0.04   0.000172    0.017%
  212    99.7%  40.9  0.00008  0.000450   0.04   0.000174    0.017%
  213    99.7%  40.9  0.00008  0.000268   0.04   0.000174    0.017%
  214    99.7%  40.9  0.00008  0.000163   0.04   0.000174    0.017%
  215    99.7%  41.0  0.00008  0.000137   0.04   0.000174    0.017%
  216    99.7%  41.0  0.00008  0.000129   0.04   0.000174    0.017%
  217    99.7%  41.0  0.00008  0.000113   0.04   0.000173    0.017%
  218    99.7%  40.9  0.00008  0.000131   0.04   0.000173    0.017%
  219    99.7%  41.0  0.00008  0.000141   0.04   0.000173    0.017%
  220    99.7%  41.0  0.00008  0.000112   0.04   0.000173    0.017%
  221    99.7%  41.0  0.00008  0.000109   0.04   0.000172    0.017%
  222    99.7%  41.0  0.00008  0.000140   0.04   0.000172    0.017%
  223    99.7%  40.9  0.00008  0.000128   0.04   0.000172    0.017%
  224    99.7%  40.9  0.00008  0.000208   0.04   0.000172    0.017%
  225    99.7%  41.0  0.00008  0.000138   0.04   0.000172    0.017%
  226    99.7%  40.9  0.00008  0.000191   0.04   0.000172    0.017%
  227    99.7%  40.9  0.00008  0.000199   0.04   0.000172    0.017%
  228    99.7%  41.0  0.00008  0.000142   0.04   0.000172    0.017%
  229    99.7%  40.9  0.00008  0.000364   0.04   0.000173    0.017%
  230    99.7%  40.9  0.00008  0.000197   0.04   0.000173    0.017%
  231    99.7%  40.9  0.00008  0.000193   0.04   0.000173    0.017%
  232    99.7%  41.0  0.00008  0.000105   0.04   0.000173    0.017%
  233    99.7%  40.9  0.00008  0.000156   0.04   0.000173    0.017%
  234    99.7%  40.9  0.00008  0.000277   0.04   0.000173    0.017%
  235    99.7%  40.9  0.00008  0.000213   0.04   0.000173    0.017%
  236    99.7%  41.0  0.00008  0.000129   0.04   0.000173    0.017%
  237    99.7%  40.9  0.00008  0.000157   0.04   0.000173    0.017%
  238    99.7%  40.9  0.00008  0.000306   0.04   0.000174    0.017%
  239    99.7%  40.6  0.00009  0.000549   0.04   0.000175    0.018%
  240    99.7%  40.9  0.00008  0.000148   0.04   0.000175    0.018%
  241    99.7%  41.0  0.00008  0.000109   0.04   0.000175    0.017%
  242    99.7%  41.0  0.00008  0.000115   0.04   0.000175    0.017%
  243    99.7%  41.0  0.00008  0.000118   0.04   0.000174    0.017%
  244    99.7%  40.8  0.00008  0.000301   0.04   0.000175    0.017%
  245    99.7%  40.9  0.00008  0.000166   0.04   0.000175    0.017%
  246    99.7%  40.9  0.00008  0.000226   0.04   0.000175    0.018%
  247    99.7%  40.9  0.00008  0.000200   0.04   0.000175    0.018%
  248    99.7%  40.9  0.00008  0.000150   0.04   0.000175    0.018%
  249    99.7%  40.9  0.00008  0.000185   0.04   0.000175    0.018%
  250    99.7%  40.8  0.00008  0.000222   0.04   0.000175    0.018%
  251    99.7%  40.9  0.00008  0.000195   0.04   0.000175    0.018%
  252    99.7%  40.9  0.00008  0.000180   0.04   0.000175    0.018%
  253    99.7%  40.9  0.00008  0.000152   0.04   0.000175    0.018%
  254    99.7%  40.8  0.00008  0.000195   0.04   0.000175    0.018%
  255    99.6%  40.6  0.00009  0.000496   0.05   0.000177    0.018%
  256    99.6%  40.8  0.00008  0.000217   0.05   0.000177    0.018%
  257    99.6%  40.9  0.00008  0.000126   0.05   0.000177    0.018%
  258    99.6%  40.9  0.00008  0.000132   0.05   0.000176    0.018%
  259    99.6%  40.9  0.00008  0.000208   0.05   0.000176    0.018%
  260    99.6%  40.5  0.00009  0.001744   0.05   0.000182    0.018%
  261    99.6%  40.9  0.00008  0.000317   0.05   0.000183    0.018%
  262    99.6%  40.8  0.00008  0.000358   0.05   0.000184    0.018%
  263    99.6%  40.9  0.00008  0.000165   0.05   0.000184    0.018%
  264    99.6%  40.9  0.00008  0.000196   0.05   0.000184    0.018%
  265    99.6%  40.6  0.00009  0.001105   0.05   0.000187    0.019%
  266    99.6%  40.6  0.00009  0.000588   0.05   0.000189    0.019%
  267    99.6%  40.6  0.00009  0.000237   0.05   0.000189    0.019%
  268    99.6%  39.1  0.00012  0.000769   0.05   0.000191    0.019%
  269    99.6%  39.6  0.00011  0.000430   0.05   0.000192    0.019%
  270    99.6%  39.3  0.00012  0.000319   0.05   0.000192    0.019%
  271    99.6%  37.4  0.00018  0.000893   0.05   0.000195    0.019%
  272    99.6%  37.4  0.00018  0.000723   0.05   0.000197    0.020%
  273    99.6%  37.6  0.00017  0.000432   0.05   0.000198    0.020%
  274    99.5%  37.7  0.00017  0.000320   0.05   0.000198    0.020%
  275    99.5%  37.6  0.00017  0.000365   0.05   0.000199    0.020%
  276    99.4%  36.7  0.00021  0.000680   0.06   0.000200    0.020%
  277    99.3%  35.9  0.00026  0.000762   0.06   0.000202    0.020%
  278    98.8%  35.3  0.00030  0.000663   0.06   0.000204    0.020%
  279    98.3%  34.8  0.00033  0.000610   0.06   0.000205    0.021%
  280    95.3%  34.2  0.00038  0.000702   0.06   0.000207    0.021%
  281    77.6%  33.8  0.00042  0.000785   0.06   0.000207    0.021%
  282    56.9%  33.8  0.00042  0.000765   0.06   0.000215    0.021%
  283    39.1%  33.8  0.00042  0.000746   0.06   0.000224    0.022%
  284    25.5%  33.8  0.00042  0.000804   0.07   0.000239    0.024%
  285    10.1%  33.8  0.00042  0.000866   0.08   0.000276    0.028%
  286     1.0%  35.3  0.00030  0.000722   0.09   0.000303    0.030%
  287     0.5%  37.0  0.00020  0.000671   0.10   0.000354    0.035%
  288     0.4%  37.2  0.00019  0.000836   0.10   0.000359    0.036%
  289     0.4%  37.3  0.00019  0.000700   0.10   0.000361    0.036%
  290     0.4%  37.2  0.00019  0.000800   0.10   0.000362    0.036%
  291     0.4%  37.0  0.00020  0.001303   0.11   0.000365    0.037%
  292     0.4%  37.1  0.00019  0.001011   0.11   0.000367    0.037%
  293     0.4%  37.2  0.00019  0.000742   0.11   0.000369    0.037%
  294     0.4%  36.6  0.00022  0.001217   0.11   0.000372    0.037%
  295     0.4%  36.0  0.00025  0.001150   0.11   0.000375    0.037%
  296     0.4%  35.8  0.00026  0.000812   0.11   0.000377    0.038%
  297     0.4%  35.4  0.00029  0.000934   0.11   0.000381    0.038%
  298     0.4%  34.7  0.00034  0.001476   0.12   0.000388    0.039%
  299     0.3%  34.8  0.00033  0.001125   0.12   0.000411    0.041%
  300     0.3%  34.9  0.00032  0.001011   0.13   0.000447    0.045%
  301     0.2%  34.7  0.00034  0.001628   0.15   0.000500    0.050%
  302     0.2%  35.3  0.00030  0.001040   0.17   0.000554    0.055%
  303     0.2%  35.2  0.00031  0.001424   0.20   0.000645    0.065%
  304     0.1%  34.4  0.00036  0.003969   0.22   0.000726    0.073%
  305     0.1%  34.9  0.00032  0.003387   0.24   0.000772    0.077%
  306     0.1%  35.7  0.00027  0.001619   0.25   0.000806    0.081%
  307     0.1%  35.5  0.00028  0.002782   0.25   0.000824    0.082%
  308     0.1%  35.6  0.00028  0.002344   0.26   0.000842    0.084%
  309     0.1%  35.1  0.00031  0.003124   0.27   0.000858    0.086%
  310     0.1%  36.2  0.00024  0.001767   0.27   0.000870    0.087%
  311     0.1%  35.9  0.00025  0.002557   0.27   0.000881    0.088%
  312     0.1%  36.1  0.00025  0.001671   0.28   0.000887    0.089%
  313     0.1%  35.2  0.00030  0.003833   0.28   0.000899    0.090%
  314     0.1%  35.3  0.00030  0.003672   0.29   0.000910    0.091%
  315     0.1%  36.1  0.00025  0.002340   0.29   0.000916    0.092%
  316     0.1%  36.6  0.00022  0.001294   0.29   0.000920    0.092%
  317     0.1%  35.8  0.00026  0.002490   0.29   0.000926    0.093%
  318     0.1%  36.7  0.00021  0.001420   0.30   0.000930    0.093%
  319     0.1%  36.7  0.00021  0.001425   0.30   0.000934    0.093%
  320     0.1%  36.8  0.00021  0.001397   0.30   0.000935    0.093%
  321     0.1%  36.4  0.00023  0.001882   0.30   0.000938    0.094%
  322     0.1%  36.6  0.00022  0.001594   0.30   0.000940    0.094%
  323     0.1%  36.2  0.00024  0.002332   0.31   0.000945    0.094%
  324     0.1%  36.6  0.00022  0.001372   0.31   0.000945    0.095%
  325     0.1%  36.5  0.00023  0.001688   0.31   0.000947    0.095%
  326     0.1%  36.7  0.00022  0.001102   0.31   0.000948    0.095%
  327     0.1%  35.6  0.00027  0.002521   0.31   0.000953    0.095%
  328     0.1%  35.9  0.00026  0.002467   0.31   0.000958    0.096%
  329     0.1%  36.3  0.00023  0.001830   0.32   0.000962    0.096%
  330     0.1%  36.2  0.00024  0.001779   0.32   0.000967    0.097%
  331     0.1%  36.1  0.00025  0.001864   0.32   0.000973    0.097%
  332     0.1%  36.3  0.00024  0.001607   0.32   0.000978    0.098%
  333     0.1%  36.5  0.00022  0.001324   0.33   0.000981    0.098%
  334     0.1%  36.2  0.00024  0.002107   0.33   0.001000    0.100%
  335     0.1%  36.8  0.00021  0.000885   0.34   0.001014    0.101%
  336     0.1%  36.4  0.00023  0.001600   0.35   0.001031    0.103%
  337     0.1%  36.1  0.00024  0.001998   0.35   0.001048    0.105%
  338     0.1%  36.3  0.00023  0.001480   0.36   0.001060    0.106%
  339     0.1%  35.7  0.00027  0.002945   0.36   0.001073    0.107%
  340     0.1%  35.5  0.00028  0.003294   0.37   0.001080    0.108%
  341     0.1%  35.7  0.00027  0.002825   0.37   0.001086    0.109%
  342     0.1%  36.1  0.00025  0.002205   0.37   0.001089    0.109%
  343     0.1%  36.7  0.00021  0.001270   0.37   0.001089    0.109%
  344     0.1%  36.5  0.00023  0.001399   0.38   0.001092    0.109%
  345     0.1%  36.5  0.00022  0.001550   0.38   0.001095    0.109%
  346     0.1%  36.3  0.00023  0.001727   0.38   0.001100    0.110%
  347     0.1%  35.4  0.00029  0.003607   0.38   0.001110    0.111%
  348     0.1%  35.1  0.00031  0.003971   0.39   0.001121    0.112%
  349     0.1%  35.8  0.00026  0.002417   0.39   0.001127    0.113%
  350     0.1%  35.5  0.00028  0.003319   0.40   0.001133    0.113%
  351     0.1%  36.9  0.00021  0.001125   0.40   0.001133    0.113%
  352     0.1%  37.0  0.00020  0.001014   0.40   0.001133    0.113%
  353     0.1%  36.4  0.00023  0.002018   0.40   0.001136    0.114%
  354     0.1%  36.8  0.00021  0.001301   0.40   0.001136    0.114%
  355     0.1%  36.8  0.00021  0.001573   0.40   0.001137    0.114%
  356     0.1%  37.1  0.00020  0.000932   0.40   0.001137    0.114%
  357     0.1%  37.0  0.00020  0.000917   0.41   0.001136    0.114%
  358     0.1%  35.9  0.00026  0.002570   0.41   0.001140    0.114%
  359     0.1%  36.4  0.00023  0.001727   0.41   0.001142    0.114%
  360     0.1%  36.3  0.00024  0.001837   0.41   0.001144    0.114%
  361     0.1%  35.8  0.00026  0.002816   0.41   0.001149    0.115%
  362     0.1%  36.0  0.00025  0.002397   0.42   0.001152    0.115%
  363     0.1%  35.0  0.00032  0.003957   0.42   0.001160    0.116%
  364     0.1%  35.9  0.00026  0.003002   0.42   0.001165    0.116%
  365     0.1%  36.9  0.00020  0.001034   0.43   0.001165    0.116%
  366     0.1%  36.8  0.00021  0.001442   0.43   0.001165    0.117%
  367     0.1%  36.6  0.00022  0.001797   0.43   0.001167    0.117%
  368     0.1%  36.3  0.00024  0.001936   0.43   0.001169    0.117%
  369     0.1%  37.1  0.00019  0.000779   0.43   0.001168    0.117%
  370     0.1%  36.4  0.00023  0.001917   0.43   0.001170    0.117%
  371     0.1%  35.8  0.00026  0.002857   0.44   0.001175    0.118%
  372     0.1%  36.8  0.00021  0.001514   0.44   0.001176    0.118%
  373     0.1%  36.9  0.00020  0.001274   0.44   0.001176    0.118%
  374     0.1%  36.7  0.00021  0.001592   0.44   0.001177    0.118%
  375     0.1%  36.7  0.00022  0.001487   0.44   0.001178    0.118%
  376     0.1%  36.2  0.00024  0.002428   0.44   0.001182    0.118%
  377     0.1%  36.5  0.00022  0.002073   0.45   0.001184    0.118%
  378     0.1%  36.9  0.00020  0.001248   0.45   0.001184    0.118%
  379     0.1%  37.0  0.00020  0.000960   0.45   0.001184    0.118%
  380     0.1%  36.3  0.00023  0.002159   0.45   0.001186    0.119%
  381     0.1%  36.8  0.00021  0.001169   0.45   0.001186    0.119%
  382     0.1%  36.5  0.00023  0.002023   0.45   0.001189    0.119%
  383     0.1%  36.7  0.00021  0.001657   0.46   0.001190    0.119%
  384     0.1%  37.0  0.00020  0.001220   0.46   0.001190    0.119%
  385     0.1%  36.5  0.00022  0.001611   0.46   0.001191    0.119%
  386     0.1%  36.2  0.00024  0.002404   0.46   0.001194    0.119%
  387     0.1%  36.1  0.00024  0.002906   0.46   0.001199    0.120%
  388     0.1%  36.6  0.00022  0.001645   0.47   0.001200    0.120%
  389     0.1%  36.1  0.00025  0.002433   0.47   0.001203    0.120%
  390     0.1%  36.1  0.00025  0.002629   0.47   0.001207    0.121%
  391     0.1%  36.3  0.00023  0.002241   0.47   0.001210    0.121%
  392     0.1%  36.3  0.00023  0.002119   0.48   0.001213    0.121%
  393     0.1%  36.7  0.00021  0.001438   0.48   0.001214    0.121%
  394     0.1%  36.7  0.00021  0.001287   0.48   0.001214    0.121%
  395     0.1%  35.6  0.00027  0.002948   0.48   0.001218    0.122%
  396     0.1%  35.9  0.00026  0.002728   0.48   0.001222    0.122%
  397     0.1%  37.0  0.00020  0.001024   0.49   0.001222    0.122%
  398     0.1%  36.5  0.00022  0.001618   0.49   0.001223    0.122%
  399     0.1%  35.6  0.00027  0.003073   0.49   0.001228    0.123%
  400     0.1%  36.5  0.00022  0.001735   0.49   0.001230    0.123%
  401     0.1%  36.8  0.00021  0.001365   0.49   0.001230    0.123%
  402     0.1%  36.6  0.00022  0.001902   0.50   0.001232    0.123%
  403     0.1%  36.3  0.00023  0.002178   0.50   0.001234    0.123%
  404     0.1%  36.7  0.00021  0.001611   0.50   0.001235    0.124%
  405     0.1%  37.0  0.00020  0.000975   0.50   0.001235    0.123%
  406     0.1%  36.8  0.00021  0.001499   0.50   0.001236    0.124%
  407     0.1%  37.1  0.00020  0.001067   0.50   0.001236    0.124%
  408     0.1%  36.9  0.00020  0.001017   0.50   0.001235    0.124%
  409     0.1%  35.8  0.00026  0.002889   0.51   0.001240    0.124%
  410     0.1%  35.8  0.00026  0.002797   0.51   0.001244    0.124%
  411     0.1%  36.3  0.00023  0.001890   0.51   0.001245    0.125%
  412     0.1%  35.4  0.00029  0.003600   0.52   0.001251    0.125%
  413     0.1%  34.8  0.00033  0.004632   0.52   0.001259    0.126%
  414     0.1%  36.5  0.00022  0.002259   0.52   0.001262    0.126%
  415     0.1%  37.3  0.00019  0.000881   0.52   0.001261    0.126%
  416     0.1%  37.1  0.00020  0.000851   0.52   0.001260    0.126%
  417     0.1%  36.8  0.00021  0.001314   0.53   0.001260    0.126%
  418     0.1%  36.8  0.00021  0.001204   0.53   0.001260    0.126%
  419     0.1%  35.5  0.00028  0.003310   0.53   0.001265    0.126%
  420     0.1%  33.6  0.00044  0.007083   0.54   0.001279    0.128%
  421     0.1%  35.8  0.00026  0.003039   0.54   0.001283    0.128%
  422     0.1%  36.8  0.00021  0.001425   0.54   0.001283    0.128%
  423     0.1%  37.1  0.00020  0.001013   0.54   0.001283    0.128%
  424     0.1%  36.7  0.00022  0.001617   0.54   0.001283    0.128%
  425     0.1%  36.5  0.00022  0.001832   0.55   0.001285    0.129%
  426     0.1%  36.6  0.00022  0.001550   0.55   0.001287    0.129%
  427     0.1%  35.7  0.00027  0.003158   0.55   0.001292    0.129%
  428     0.1%  36.8  0.00021  0.001530   0.55   0.001293    0.129%
  429     0.1%  36.6  0.00022  0.001632   0.56   0.001294    0.129%
  430     0.1%  36.1  0.00025  0.002749   0.56   0.001298    0.130%
  431     0.1%  36.5  0.00022  0.001909   0.56   0.001299    0.130%
  432     0.1%  37.0  0.00020  0.001135   0.56   0.001299    0.130%
  433     0.1%  36.9  0.00021  0.001398   0.56   0.001298    0.130%
  434     0.1%  36.7  0.00021  0.001370   0.56   0.001298    0.130%
  435     0.1%  36.3  0.00023  0.002225   0.57   0.001300    0.130%
  436     0.1%  36.5  0.00023  0.001570   0.57   0.001301    0.130%
  437     0.1%  36.6  0.00022  0.001695   0.57   0.001304    0.130%
  438     0.1%  36.8  0.00021  0.001560   0.57   0.001307    0.131%
  439     0.1%  36.9  0.00020  0.001154   0.57   0.001306    0.131%
  440     0.1%  36.6  0.00022  0.001721   0.58   0.001307    0.131%
  441     0.1%  36.6  0.00022  0.001534   0.58   0.001307    0.131%
  442     0.1%  36.7  0.00021  0.000949   0.58   0.001309    0.131%
  443     0.1%  36.3  0.00024  0.001521   0.58   0.001309    0.131%
  444     0.1%  36.0  0.00025  0.001819   0.58   0.001311    0.131%
  445     0.1%  36.1  0.00025  0.001364   0.58   0.001312    0.131%
  446     0.1%  35.6  0.00028  0.002354   0.59   0.001321    0.132%
  447     0.1%  35.9  0.00025  0.002053   0.60   0.001341    0.134%
  448     0.1%  36.3  0.00023  0.001944   0.61   0.001361    0.136%
  449     0.1%  36.8  0.00021  0.000864   0.61   0.001350    0.135%
  450     0.1%  36.9  0.00020  0.000915   0.60   0.001343    0.134%
  451     0.1%  35.9  0.00026  0.001961   0.61   0.001345    0.134%
  452     0.1%  35.2  0.00030  0.002119   0.61   0.001340    0.134%
  453     0.1%  34.6  0.00035  0.001926   0.61   0.001346    0.135%
  454     0.1%  34.4  0.00036  0.001277   0.61   0.001343    0.134%
  455     0.1%  33.3  0.00046  0.002254   0.62   0.001354    0.135%
  456     0.0%  32.9  0.00051  0.002437   0.63   0.001384    0.138%
  457     0.0%  32.8  0.00053  0.002870   0.66   0.001445    0.145%
  458     0.0%  33.1  0.00049  0.001968   0.70   0.001527    0.153%
  459     0.0%  33.0  0.00050  0.001913   0.69   0.001513    0.151%
  460     0.0%  32.9  0.00051  0.002094   0.72   0.001571    0.157%
  461     0.0%  32.1  0.00062  0.005340   0.96   0.002087    0.209%
  462     0.0%  33.2  0.00048  0.002706   0.95   0.002054    0.205%
  463     0.0%  34.2  0.00038  0.000717   0.86   0.001858    0.186%
  464     0.0%  33.8  0.00042  0.006382   1.12   0.002405    0.240%
  465     0.0%  32.3  0.00059  0.008940   1.41   0.003026    0.303%
  466     0.0%  34.2  0.00038  0.001087   1.41   0.003022    0.302%
  467     0.0%  34.0  0.00040  0.000964   1.56   0.003335    0.334%
  468     0.0%  35.0  0.00032  0.001082   1.56   0.003330    0.333%
  469     0.0%  34.3  0.00037  0.009002   1.57   0.003342    0.334%
  470     0.0%  33.9  0.00041  0.001285   1.57   0.003338    0.334%
  471     0.0%  33.3  0.00046  0.009067   1.58   0.003350    0.335%
  472     0.0%  33.9  0.00041  0.009025   1.59   0.003362    0.336%
  473     0.0%  33.2  0.00048  0.011477   1.60   0.003379    0.338%
  474     0.0%  35.7  0.00027  0.000869   1.60   0.003374    0.337%
  475     0.0%  36.8  0.00021  0.000256   1.60   0.003368    0.337%
  476     0.0%  36.2  0.00024  0.000702   1.60   0.003362    0.336%
  477     0.0%  36.1  0.00024  0.000519   1.60   0.003356    0.336%
  478     0.0%  34.9  0.00032  0.011252   1.61   0.003373    0.337%
  479     0.0%  36.1  0.00024  0.000847   1.61   0.003367    0.337%
  480     0.0%  37.4  0.00018  0.000190   1.61   0.003361    0.336%
  481     0.0%  36.0  0.00025  0.000456   1.61   0.003355    0.335%
  482     0.0%  34.1  0.00039  0.009015   1.62   0.003366    0.337%
  483     0.0%  35.8  0.00026  0.001038   1.62   0.003362    0.336%
  484     0.0%  34.9  0.00032  0.001121   1.62   0.003357    0.336%
  485     0.0%  36.4  0.00023  0.000377   1.63   0.003351    0.335%
  486     0.0%  36.7  0.00022  0.000263   1.63   0.003344    0.334%
  487     0.0%  37.2  0.00019  0.000200   1.63   0.003338    0.334%
  488     0.0%  37.6  0.00018  0.000185   1.63   0.003332    0.333%
  489     0.0%  37.6  0.00018  0.000181   1.63   0.003325    0.333%
  490     0.0%  37.7  0.00017  0.000176   1.63   0.003319    0.332%
  491     0.0%  37.7  0.00017  0.000172   1.63   0.003312    0.331%
  492     0.0%  36.1  0.00024  0.000707   1.63   0.003307    0.331%
  493     0.0%  36.6  0.00022  0.000265   1.63   0.003301    0.330%
  494     0.0%  36.4  0.00023  0.000249   1.63   0.003295    0.329%
  495     0.0%  35.6  0.00028  0.000302   1.63   0.003289    0.329%
  496     0.0%  35.0  0.00032  0.000362   1.63   0.003283    0.328%
  497     0.0%  34.8  0.00033  0.000356   1.63   0.003277    0.328%
  498     0.0%  35.1  0.00031  0.000328   1.58   0.003169    0.317%
  499     0.0%  35.8  0.00026  0.000285   1.51   0.003022    0.302%
  500     0.0%  36.8  0.00021  0.000229   2.12   0.004238    0.424%
  501     0.0%  36.8  0.00021  0.000229   2.12   0.004230    0.423%
  502     0.0%  37.7  0.00017  0.000172   2.68   0.005335    0.533%
  503     0.0%  37.7  0.00017  0.000172   2.68   0.005324    0.532%
  504     0.0%  32.0  0.00063  0.001513   2.68   0.005317    0.532%
  505     0.0%  36.0  0.00025  0.000269   2.68   0.005307    0.531%
  506     0.0%  31.7  0.00068  0.001856   2.68   0.005300    0.530%
  507     0.0%  35.3  0.00029  0.000318   2.68   0.005290    0.529%
  508     0.0%  35.3  0.00029  0.000318   2.68   0.005280    0.528%
  509     0.0%  36.0  0.00025  0.000278   3.95   0.007760    0.776%
  510     0.0%  32.5  0.00056  0.001077   3.95   0.007747    0.775%
  511     0.0%  38.0  0.00016  0.000158   1.37   0.002685    0.269%
  512     0.0%  38.0  0.00016  0.000158   1.37   0.002680    0.268%
  513     0.0%  38.0  0.00016  0.000158   1.37   0.002675    0.268%
  514     0.0%  34.0  0.00040  0.000398   1.37   0.002671    0.267%
  515     0.0%  34.0  0.00040  0.000398   1.37   0.002666    0.267%
  516     0.0%  34.0  0.00040  0.000398   1.37   0.002662    0.266%
  517     0.0%  34.0  0.00040  0.000398   1.37   0.002658    0.266%
  518     0.0%  34.0  0.00040  0.000398   1.37   0.002653    0.265%

    L   1.0000   0.5000   0.2500   0.1000   1.0000   0.5000   0.2500   0.1000
-----  -------  -------  -------  -------  -------  -------  -------  -------
  508        1        1        1        0    0.00%    0.00%    0.00%    0.00%
  507        1        1        1        0    0.00%    0.00%    0.00%    0.00%
  506        1        1        1        0    0.00%    0.00%    0.00%    0.00%
  505        1        1        1        0    0.00%    0.00%    0.00%    0.00%
  504        1        1        1        0    0.00%    0.00%    0.00%    0.00%
  503        1        1        1        0    0.00%    0.00%    0.00%    0.00%
  502        1        1        1        0    0.00%    0.00%    0.00%    0.00%
  501        2        2        1        0    0.00%    0.00%    0.00%    0.00%
  500        2        2        1        0    0.00%    0.00%    0.00%    0.00%
  499        4        4        2        0    0.00%    0.00%    0.00%    0.00%
  498        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  497        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  496        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  495        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  494        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  493        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  492        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  491        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  490        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  489        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  488        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  487        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  486        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  485        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  484        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  483        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  482        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  481        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  480        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  479        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  478        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  477        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  476        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  475        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  474        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  473        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  472        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  471        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  470        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  469        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  468        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  467        5        5        3        0    0.00%    0.00%    0.00%    0.00%
  466        6        6        4        1    0.00%    0.00%    0.00%    0.00%
  465        6        6        4        1    0.00%    0.00%    0.00%    0.00%
  464        9        9        6        2    0.00%    0.00%    0.00%    0.00%
  463       18       16       13        7    0.00%    0.00%    0.00%    0.00%
  462       23       19       16        9    0.00%    0.00%    0.00%    0.00%
  461       26       21       17       10    0.00%    0.00%    0.00%    0.00%
  460      277      239      200      100    0.00%    0.00%    0.00%    0.00%
  459      746      670      544      280    0.01%    0.01%    0.01%    0.00%
