OTU,Kingdom,Phylum,Class,Order,Family ,Genus
BOTU_6747,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliales,Babeliales
BOTU_6736,Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,uncultured_bacterium,unidentified
BOTU_6743,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,unidentified,unidentified
BOTU_6762,Bacteria,unidentified,unidentified,unidentified,unidentified,unidentified
BOTU_6688,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
BOTU_6766,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
BOTU_6778,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,AKIW781
BOTU_6800,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria
BOTU_6697,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadales,Armatimonadales
BOTU_6714,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,unidentified
BOTU_6798,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified
BOTU_6695,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,unidentified
BOTU_6705,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BOTU_6732,Bacteria,Myxococcota,Polyangia,FFCH16767,FFCH16767,FFCH16767
BOTU_6699,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,unidentified
BOTU_6773,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
BOTU_6742,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
BOTU_6777,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
BOTU_6757,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20
BOTU_6765,Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,Longimicrobiaceae
