"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","Lowest_Taxonomic_Rank","Label"
"FOTU_1913","FOTU_1913","Viridiplantae","Anthophyta","Eudicotyledonae","Caryophyllales","Caryophyllaceae","Acanthophyllum","spinosum","Acanthophyllum_spinosum","FOTU_1913_Acanthophyllum_spinosum"
"FOTU_1914","FOTU_1914","Viridiplantae","Anthophyta","Eudicotyledonae","Malvales","Malvaceae","Gossypium","longicalyx","Gossypium_longicalyx","FOTU_1914_Gossypium_longicalyx"
"FOTU_1915","FOTU_1915","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_1915_unidentified"
"FOTU_1916","FOTU_1916","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_1916_unidentified"
"FOTU_1917","FOTU_1917","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Pannariaceae","Pectenia","unidentified","Pectenia","FOTU_1917_Pectenia"
"FOTU_1918","FOTU_1918","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_1918_unidentified"
"FOTU_1919","FOTU_1919","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","verrucosa","Periconia_verrucosa","FOTU_1919_Periconia_verrucosa"
"FOTU_1920","FOTU_1920","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","xenobiotica","Exophiala_xenobiotica","FOTU_1920_Exophiala_xenobiotica"
"FOTU_1921","FOTU_1921","Fungi","Ascomycota","Sordariomycetes","unidentified","unidentified","unidentified","unidentified","Sordariomycetes","FOTU_1921_Sordariomycetes"
"FOTU_1922","FOTU_1922","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_1922_unidentified"
"FOTU_1923","FOTU_1923","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_1923_Fungi"
"FOTU_1924","FOTU_1924","Fungi","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Fungi","FOTU_1924_Fungi"
"FOTU_1925","FOTU_1925","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_1925_unidentified"
"FOTU_1926","FOTU_1926","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Trichomeriaceae_gen_Incertae_sedis","unidentified","Trichomeriaceae_gen_Incertae_sedis","FOTU_1926_Trichomeriaceae_gen_Incertae_sedis"
"FOTU_1927","FOTU_1927","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_1927_unidentified"
"FOTU_1928","FOTU_1928","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","unidentified","unidentified","Hyaloscyphaceae","FOTU_1928_Hyaloscyphaceae"
"FOTU_1929","FOTU_1929","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","oblongisporum","Sistotrema_oblongisporum","FOTU_1929_Sistotrema_oblongisporum"
