vsearch v2.22.1_linux_x86_64, 1007.5GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Sun Feb  4 14:19:22 2024

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  298       11139     0.1%     0.1%
     68           1     0.0%   100.0%
     67           5     0.0%   100.0%
     54           2     0.0%   100.0%
      8          12     0.0%   100.0%
      7          18     0.0%   100.0%
      6          31     0.0%   100.0%
      5           5     0.0%   100.0%
      4          11     0.0%   100.0%
      3          29     0.0%   100.0%
      2          73     0.0%   100.0%
      1           1     0.0%   100.0%
      0           5     0.0%   100.0%

Q score distribution
ASCII    Q       Pe           N      Pct   AccPct
-----  ---  -------  ----------  -------  -------
    G   38  0.00016  2040799713    67.5%    67.5%
    F   37  0.00020   173229577     5.7%    73.3%
    E   36  0.00025    57829562     1.9%    75.2%
    D   35  0.00032    30150794     1.0%    76.2%
    C   34  0.00040    70578027     2.3%    78.5%
    B   33  0.00050     7107589     0.2%    78.8%
    A   32  0.00063     7515368     0.2%    79.0%
    @   31  0.00079    19816682     0.7%    79.7%
    ?   30  0.00100    14575217     0.5%    80.1%
    >   29  0.00126    12550308     0.4%    80.6%
    =   28  0.00158     7825475     0.3%    80.8%
    <   27  0.00200    28568929     0.9%    81.8%
    ;   26  0.00251     7241565     0.2%    82.0%
    :   25  0.00316    23604215     0.8%    82.8%
    9   24  0.00398    15816825     0.5%    83.3%
    8   23  0.00501    16795602     0.6%    83.9%
    7   22  0.00631    22305916     0.7%    84.6%
    6   21  0.00794    10594098     0.4%    84.9%
    5   20  0.01000    15778634     0.5%    85.5%
    4   19  0.01259     8000111     0.3%    85.7%
    3   18  0.01585    28432409     0.9%    86.7%
    2   17  0.01995    34221999     1.1%    87.8%
    1   16  0.02512    11500741     0.4%    88.2%
    0   15  0.03162    24513598     0.8%    89.0%
    /   14  0.03981    10222115     0.3%    89.3%
    .   13  0.05012      722249     0.0%    89.4%
    -   12  0.06310      159825     0.0%    89.4%
    ,   11  0.07943    91568797     3.0%    92.4%
    +   10  0.10000   112847071     3.7%    96.1%
    *    9  0.12589   109338330     3.6%    99.7%
    )    8  0.15849     7190543     0.2%   100.0%
    (    7  0.19953      143868     0.0%   100.0%
    #    2  0.63096      286004     0.0%   100.0%

    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
    2   100.0%  37.7  0.00017  0.000392   0.00   0.000354    0.035%
    3   100.0%  37.6  0.00017  0.000417   0.00   0.000375    0.038%
    4   100.0%  37.7  0.00017  0.000352   0.00   0.000369    0.037%
    5   100.0%  37.6  0.00017  0.000430   0.00   0.000381    0.038%
    6   100.0%  37.6  0.00018  0.000437   0.00   0.000390    0.039%
    7   100.0%  37.7  0.00017  0.000366   0.00   0.000387    0.039%
    8   100.0%  37.6  0.00017  0.000388   0.00   0.000387    0.039%
    9   100.0%  37.5  0.00018  0.000617   0.00   0.000413    0.041%
   10   100.0%  37.5  0.00018  0.000490   0.00   0.000420    0.042%
   11   100.0%  37.6  0.00017  0.000385   0.00   0.000417    0.042%
   12   100.0%  37.7  0.00017  0.000360   0.00   0.000412    0.041%
   13   100.0%  37.5  0.00018  0.000576   0.01   0.000425    0.042%
   14   100.0%  37.4  0.00018  0.000796   0.01   0.000451    0.045%
   15   100.0%  37.3  0.00019  0.000979   0.01   0.000487    0.049%
   16   100.0%  37.4  0.00018  0.000715   0.01   0.000501    0.050%
   17   100.0%  37.4  0.00018  0.000772   0.01   0.000517    0.052%
   18   100.0%  37.3  0.00019  0.001049   0.01   0.000546    0.055%
   19   100.0%  37.5  0.00018  0.000601   0.01   0.000549    0.055%
   20   100.0%  37.2  0.00019  0.000914   0.01   0.000567    0.057%
   21   100.0%  37.5  0.00018  0.000612   0.01   0.000570    0.057%
   22   100.0%  37.5  0.00018  0.000533   0.01   0.000568    0.057%
   23   100.0%  37.5  0.00018  0.000518   0.01   0.000566    0.057%
   24   100.0%  37.5  0.00018  0.000531   0.01   0.000564    0.056%
   25   100.0%  37.6  0.00017  0.000426   0.01   0.000559    0.056%
   26   100.0%  37.5  0.00018  0.000548   0.01   0.000558    0.056%
   27   100.0%  37.5  0.00018  0.000496   0.02   0.000556    0.056%
   28   100.0%  37.6  0.00018  0.000496   0.02   0.000554    0.055%
   29   100.0%  37.6  0.00018  0.000480   0.02   0.000551    0.055%
   30   100.0%  37.6  0.00018  0.000501   0.02   0.000550    0.055%
   31   100.0%  37.4  0.00018  0.000612   0.02   0.000552    0.055%
   32   100.0%  37.4  0.00018  0.000604   0.02   0.000553    0.055%
   33   100.0%  37.5  0.00018  0.000559   0.02   0.000553    0.055%
   34   100.0%  37.5  0.00018  0.000530   0.02   0.000553    0.055%
   35   100.0%  37.5  0.00018  0.000556   0.02   0.000553    0.055%
   36   100.0%  37.4  0.00018  0.000571   0.02   0.000553    0.055%
   37   100.0%  37.6  0.00018  0.000444   0.02   0.000550    0.055%
   38   100.0%  37.6  0.00017  0.000436   0.02   0.000547    0.055%
   39   100.0%  37.5  0.00018  0.000510   0.02   0.000546    0.055%
   40   100.0%  37.4  0.00018  0.000700   0.02   0.000550    0.055%
   41   100.0%  37.4  0.00018  0.000751   0.02   0.000555    0.056%
   42   100.0%  37.4  0.00018  0.000801   0.02   0.000561    0.056%
   43   100.0%  37.3  0.00018  0.000805   0.02   0.000567    0.057%
   44   100.0%  37.4  0.00018  0.000751   0.03   0.000571    0.057%
   45   100.0%  37.4  0.00018  0.000847   0.03   0.000577    0.058%
   46   100.0%  37.4  0.00018  0.000713   0.03   0.000580    0.058%
   47   100.0%  37.5  0.00018  0.000622   0.03   0.000581    0.058%
   48   100.0%  37.5  0.00018  0.000593   0.03   0.000581    0.058%
   49   100.0%  37.4  0.00018  0.000662   0.03   0.000583    0.058%
   50   100.0%  37.4  0.00018  0.000666   0.03   0.000584    0.058%
   51   100.0%  37.5  0.00018  0.000572   0.03   0.000584    0.058%
   52   100.0%  37.4  0.00018  0.000700   0.03   0.000586    0.059%
   53   100.0%  37.4  0.00018  0.000718   0.03   0.000589    0.059%
   54   100.0%  37.5  0.00018  0.000611   0.03   0.000589    0.059%
   55   100.0%  37.4  0.00018  0.000710   0.03   0.000592    0.059%
   56   100.0%  37.5  0.00018  0.000612   0.03   0.000592    0.059%
   57   100.0%  37.5  0.00018  0.000611   0.03   0.000592    0.059%
   58   100.0%  37.4  0.00018  0.000624   0.03   0.000593    0.059%
   59   100.0%  37.3  0.00019  0.000805   0.04   0.000596    0.060%
   60   100.0%  37.3  0.00019  0.000739   0.04   0.000599    0.060%
   61   100.0%  37.4  0.00018  0.000704   0.04   0.000600    0.060%
   62   100.0%  37.4  0.00018  0.000683   0.04   0.000602    0.060%
   63   100.0%  37.4  0.00018  0.000664   0.04   0.000603    0.060%
   64   100.0%  37.4  0.00018  0.000689   0.04   0.000604    0.060%
   65   100.0%  37.5  0.00018  0.000618   0.04   0.000604    0.060%
   66   100.0%  37.4  0.00018  0.000685   0.04   0.000606    0.061%
   67   100.0%  37.4  0.00018  0.000703   0.04   0.000607    0.061%
   68   100.0%  37.5  0.00018  0.000584   0.04   0.000607    0.061%
   69   100.0%  37.5  0.00018  0.000640   0.04   0.000607    0.061%
   70   100.0%  37.4  0.00018  0.000676   0.04   0.000608    0.061%
   71   100.0%  37.3  0.00019  0.000841   0.04   0.000611    0.061%
   72   100.0%  37.3  0.00019  0.000810   0.04   0.000614    0.061%
   73   100.0%  37.1  0.00019  0.001072   0.05   0.000620    0.062%
   74   100.0%  37.2  0.00019  0.000944   0.05   0.000625    0.062%
   75   100.0%  37.2  0.00019  0.001017   0.05   0.000630    0.063%
   76   100.0%  37.1  0.00020  0.001111   0.05   0.000636    0.064%
